iter	Passed	Remaining
233	12039	39409
234	12084	39338
235	12128	39263
236	12172	39189
237	12217	39117
238	12258	39032
239	12302	38959
240	12354	38909
241	12399	38839
242	12441	38757
243	12493	38708
244	12543	38654
245	12587	38580
246	12640	38536
247	12688	38475
248	12731	38398
249	12775	38325
250	12823	38264
251	12977	38520
252	13027	38463
253	13100	38476
254	13143	38400
255	13191	38337
256	13241	38282
257	13287	38215
258	13333	38148
259	13383	38090
260	13432	38033
261	13475	37958
262	13536	37934
263	13579	37857
264	13621	37780
265	13676	37739
266	13720	37666
267	13796	37682
268	13867	37684
269	13914	37621
270	13973	37590
271	14021	37528
272	14067	37462
273	14114	37397
274	14164	37343
275	14205	37264
276	14251	37197
277	14304	37151
278	14353	37093
279	14398	37024
280	14447	36967
281	14500	36919
282	14547	36856
283	14594	36793
284	14652	36760
285	14699	36696
286	14744	36631
287	14796	36580
288	14846	36525
289	14894	36465
290	14945	36413
291	14985	36335
292	15027	36261
293	15075	36202
294	15119	36131
295	15164	36066
296	15213	36009
297	15256	35940
298	15300	35870
299	15345	35806
300	15395	35751
301	15444	35695
302	15485	35622
303	15544	35589
304	15584	35512
305	15634	35458
306	15683	35403
307	15730	35342
308	15776	35279
309	15825	35224
310	15873	35166
311	15916	35097
312	15967	35045
313	16017	34992
314	16061	34927
315	16107	34864
316	16160	34819
317	16207	34760
318	16255	34701
319	16302	34642
320	16345	34574
321	16390	34511
322	16437	34453
323	16485	34396
324	16527	34326
325	16576	34272
326	16632	34231
327	16676	34166
328	16719	34098
329	16760	34029
330	16807	33970
331	16851	33906
332	16906	33863
333	16953	33804
334	16999	33745
335	17050	33694
336	17092	33626
337	17141	33572
338	17188	33515
339	17237	33461
340	17286	33407
341	17340	33363
342	17383	33297
343	17428	33236
344	17478	33184
345	17532	33139
346	17576	33075
347	17628	33027
348	17670	32961
349	17716	32901
350	17764	32846
351	17809	32785
352	17853	32723
353	17896	32659
354	17950	32614
355	17992	32548
356	18038	32489
357	18094	32448
358	18136	32382
359	18180	32321
360	18231	32271
361	18280	32217
362	18320	32149
363	18370	32098
364	18431	32066
365	18486	32022
366	18532	31964
367	18583	31915
368	18625	31850
369	18668	31786
370	18731	31757
371	18780	31704
372	18822	31640
373	18875	31594
374	18932	31554
375	19006	31542
376	19054	31488
377	19096	31423
378	19142	31365
379	19197	31322
380	19239	31258
381	19283	31197
382	19339	31155
383	19383	31094
384	19429	31036
385	19476	30981
386	19524	30926
387	19566	30861
388	19619	30816
389	19663	30755
390	19707	30695
391	19757	30644
392	19807	30593
393	19853	30536
394	19897	30475
395	19957	30440
396	20003	30382
397	20057	30337
398	20107	30286
399	20153	30230
400	20194	30165
401	20253	30128
402	20301	30074
403	20344	30012
404	20401	29971
405	20442	29908
406	20499	29868
407	20558	29830
408	20602	29770
409	20649	29715
410	20708	29677
411	20755	29622
412	20804	29568
413	20851	29514
414	20900	29461
415	20946	29405
416	20996	29354
417	21043	29300
418	21087	29240
419	21135	29187
420	21191	29145
421	21237	29088
422	21291	29042
423	21339	28990
424	21385	28933
425	21428	28872
426	21479	28824
427	21522	28763
428	21568	28707
429	21614	28652
430	21654	28588
431	21698	28530
432	21745	28475
433	21798	28427
434	21848	28378
435	21896	28324
436	21947	28276
437	21990	28216
438	22084	28222
439	22209	28266
440	22281	28243
441	22330	28190
442	22383	28143
443	22426	28084
444	22482	28040
445	22527	27983
446	22573	27926
447	22625	27877
448	22672	27822
449	22717	27766
450	22776	27725
451	22822	27669
452	22873	27620
453	22927	27573
454	22976	27520
455	23022	27465
456	23081	27424
457	23123	27363
458	23172	27311
459	23220	27259
460	23264	27201
461	23313	27148
462	23365	27099
463	23414	27047
464	23514	27054
465	23571	27010
466	23620	26959
467	23665	26901
468	23725	26861
469	23769	26804
470	23813	26746
471	23871	26703
472	23919	26650
473	23972	26602
474	24029	26558
475	24072	26499
476	24126	26452
477	24172	26397
478	24221	26345
479	24267	26289
480	24320	26241
481	24366	26185
482	24408	26127
483	24462	26079
484	24507	26023
485	24555	25970
486	24601	25914
487	24641	25853
488	24685	25796
489	24737	25747
490	24788	25697
491	24834	25642
492	24881	25588
493	24941	25547
494	24987	25492
495	25030	25434
496	25089	25392
497	25133	25335
498	25179	25280
499	25243	25243
500	25302	25201
501	25355	25153
502	25411	25108
503	25454	25050
504	25499	24994
505	25552	24946
506	25598	24891
507	25640	24832
508	25682	24774
509	25730	24721
510	25769	24659
511	25814	24604
512	25871	24560
513	25922	24510
514	25965	24453
515	26015	24402
516	26058	24345
517	26100	24286
518	26166	24250
519	26211	24195
520	26255	24138
521	26307	24090
522	26358	24040
523	26402	23984
524	26462	23941
525	26531	23908
526	26610	23883
527	26676	23847
528	26753	23819
529	26802	23768
530	26867	23730
531	26918	23680
532	26965	23626
533	27010	23570
534	27059	23518
535	27102	23461
536	27144	23403
537	27195	23353
538	27241	23299
539	27285	23242
540	27333	23190
541	27377	23134
542	27424	23081
543	27476	23031
544	27522	22977
545	27591	22942
546	27657	22904
547	27705	22851
548	27749	22795
549	27807	22751
550	27849	22693
551	27902	22645
552	27962	22602
553	28020	22557
554	28068	22505
555	28113	22450
556	28158	22395
557	28202	22339
558	28257	22292
559	28301	22237
560	28345	22181
561	28406	22138
562	28445	22079
563	28493	22026
564	28554	21984
565	28595	21926
566	28650	21879
567	28702	21830
568	28752	21779
569	28800	21726
570	28853	21677
571	28899	21623
572	28954	21577
573	29004	21525
574	29051	21472
575	29099	21420
576	29143	21365
577	29191	21313
578	29243	21263
579	29292	21212
580	29339	21158
581	29387	21106
582	29437	21055
583	29486	21004
584	29533	20951
585	29591	20905
586	29631	20848
587	29672	20791
588	29723	20740
589	29773	20689
590	29820	20637
591	29867	20584
592	29924	20538
593	29971	20485
594	30016	20431
595	30070	20383
596	30119	20332
597	30165	20278
598	30214	20227
599	30256	20170
600	30303	20118
601	30361	20072
602	30464	20057
603	30595	20059
604	30668	20023
605	30731	19980
606	30779	19928
607	30831	19878
608	30886	19830
609	30933	19776
610	30980	19724
611	31028	19671
612	31083	19623
613	31134	19573
614	31194	19528
615	31242	19475
616	31292	19424
617	31352	19379
618	31402	19328
619	31457	19280
620	31508	19229
621	31561	19180
622	31610	19128
623	31664	19079
624	31714	19028
625	31765	18977
626	31826	18933
627	31876	18882
628	31929	18832
629	31982	18783
630	32033	18732
631	32083	18681
632	32145	18637
633	32191	18583
634	32239	18531
635	32295	18483
636	32347	18433
637	32393	18380
638	32458	18337
639	32505	18284
640	32558	18234
641	32610	18184
642	32657	18131
643	32712	18083
644	32764	18033
645	32814	17981
646	32861	17929
647	32926	17885
648	32972	17832
649	33018	17779
650	33074	17731
651	33119	17677
652	33163	17622
653	33210	17569
654	33259	17518
655	33311	17468
656	33359	17415
657	33405	17362
658	33452	17309
659	33498	17256
660	33538	17200
661	33586	17148
662	33652	17105
663	33701	17053
664	33752	17003
665	33802	16951
666	33849	16899
667	33898	16847
668	33959	16802
669	34000	16746
670	34050	16695
671	34098	16643
672	34142	16589
673	34185	16534
674	34244	16487
675	34290	16434
676	34340	16383
677	34382	16329
678	34426	16275
679	34467	16219
680	34528	16174
681	34577	16122
682	34626	16071
683	34677	16020
684	34723	15967
685	34774	15917
686	34836	15871
687	34879	15817
688	34924	15764
689	34976	15714
690	35027	15663
691	35071	15609
692	35128	15562
693	35172	15508
694	35214	15453
695	35270	15405
696	35320	15354
697	35361	15299
698	35411	15248
699	35456	15195
700	35499	15141
701	35544	15088
702	35589	15035
703	35638	14984
704	35690	14934
705	35735	14881
706	35783	14829
707	35834	14779
708	35877	14725
709	35929	14675
710	35992	14629
711	36038	14577
712	36088	14526
713	36144	14478
714	36191	14425
715	36238	14373
716	36284	14321
717	36329	14268
718	36374	14216
719	36420	14163
720	36474	14114
721	36520	14061
722	36564	14008
723	36620	13960
724	36668	13908
725	36712	13855
726	36765	13805
727	36821	13757
728	36916	13723
729	37021	13693
730	37141	13667
731	37224	13628
732	37313	13591
733	37355	13537
734	37404	13485
735	37453	13434
736	37497	13381
737	37540	13327
738	37587	13275
739	37646	13227
740	37696	13175
741	37744	13124
742	37803	13075
743	37847	13022
744	37889	12968
745	37942	12918
746	37985	12865
747	38027	12811
748	38076	12759
749	38119	12706
750	38168	12655
751	38215	12602
752	38260	12550
753	38307	12498
754	38362	12448
755	38403	12394
756	38453	12343
757	38511	12295
758	38560	12243
759	38611	12193
760	38671	12145
761	38717	12092
762	38769	12042
763	38824	11993
764	38865	11939
765	38908	11885
766	39012	11851
767	39132	11821
768	39221	11781
769	39262	11727
770	39308	11675
771	39357	11623
772	39408	11572
773	39455	11520
774	39497	11467
775	39553	11417
776	39596	11364
777	39643	11312
778	39704	11263
779	39761	11214
780	39811	11163
781	39875	11116
782	39924	11064
783	39970	11012
784	40021	10961
785	40065	10908
786	40109	10855
787	40160	10804
788	40205	10752
789	40251	10699
790	40304	10649
791	40349	10596
792	40407	10547
793	40460	10497
794	40504	10444
795	40552	10392
796	40603	10341
797	40647	10289
798	40689	10236
799	40749	10187
800	40797	10135
801	40845	10084
802	40896	10033
803	40938	9980
804	40986	9928
805	41041	9878
806	41082	9825
807	41127	9772
808	41178	9722
809	41222	9669
810	41266	9617
811	41318	9566
812	41362	9513
813	41409	9462
814	41461	9411
815	41502	9358
816	41546	9305
817	41596	9254
818	41636	9201
819	41683	9150
820	41742	9100
821	41785	9048
822	41833	8997
823	41878	8944
824	41918	8891
825	41962	8839
826	42010	8788
827	42062	8737
828	42109	8686
829	42157	8634
830	42202	8582
831	42245	8530
832	42291	8478
833	42339	8427
834	42382	8374
835	42424	8322
836	42478	8272
837	42524	8220
838	42573	8169
839	42629	8119
840	42676	8068
841	42722	8016
842	42780	7967
843	42827	7915
844	42866	7863
845	42913	7811
846	42964	7760
847	43011	7709
848	43058	7658
849	43112	7608
850	43156	7556
851	43200	7504
852	43245	7452
853	43294	7401
854	43339	7349
855	43382	7297
856	43438	7248
857	43481	7196
858	43529	7145
859	43587	7095
860	43640	7045
861	43688	6994
862	43756	6946
863	43805	6895
864	43856	6844
865	43907	6794
866	43957	6743
867	44006	6692
868	44059	6641
869	44104	6590
870	44149	6538
871	44195	6487
872	44244	6436
873	44290	6385
874	44333	6333
875	44388	6283
876	44434	6231
877	44477	6180
878	44536	6130
879	44588	6080
880	44639	6029
881	44692	5979
882	44740	5928
883	44789	5877
884	44853	5828
885	44902	5777
886	44951	5726
887	45006	5676
888	45052	5625
889	45098	5574
890	45153	5523
891	45200	5472
892	45247	5421
893	45303	5371
894	45349	5320
895	45395	5269
896	45450	5218
897	45498	5167
898	45538	5116
899	45583	5064
900	45635	5014
901	45682	4963
902	45736	4913
903	45796	4863
904	45842	4812
905	45885	4760
906	45939	4710
907	45983	4659
908	46032	4608
909	46083	4557
910	46131	4506
911	46179	4455
912	46231	4405
913	46277	4354
914	46326	4303
915	46385	4253
916	46430	4202
917	46477	4151
918	46528	4100
919	46577	4050
920	46620	3998
921	46732	3953
922	46829	3906
923	46898	3857
924	46948	3806
925	46998	3755
926	47050	3705
927	47096	3654
928	47142	3602
929	47194	3552
930	47242	3501
931	47288	3450
932	47339	3399
933	47386	3348
934	47427	3297
935	47480	3246
936	47523	3195
937	47567	3144
938	47621	3093
939	47662	3042
940	47706	2991
941	47753	2940
942	47798	2889
943	47841	2838
944	47891	2787
945	47939	2736
946	47987	2685
947	48045	2635
948	48088	2584
949	48136	2533
950	48187	2482
951	48227	2431
952	48272	2380
953	48324	2330
954	48369	2279
955	48410	2228
956	48513	2179
957	48559	2128
958	48608	2078
959	48658	2027
960	48703	1976
961	48752	1925
962	48795	1874
963	48841	1823
964	48895	1773
965	48938	1722
966	48981	1671
967	49026	1620
968	49072	1569
969	49114	1519
970	49156	1468
971	49204	1417
972	49249	1366
973	49291	1315
974	49347	1265
975	49391	1214
976	49435	1163
977	49486	1113
978	49536	1062
979	49584	1011
980	49628	961
981	49681	910
982	49724	859
983	49769	809
984	49816	758
985	49858	707
986	49903	657
987	49961	606
988	50003	556
989	50050	505
990	50104	455
991	50152	404
992	50199	353
993	50260	303
994	50301	252
995	50351	202
996	50397	151
997	50441	101
998	50484	50
999	50532	0
