iter	RMSE
165	2439.658598
166	2438.92454
167	2437.602146
168	2436.45211
169	2435.647716
170	2433.943629
171	2433.05603
172	2432.4175
173	2431.526809
174	2430.757019
175	2429.374804
176	2428.310665
177	2427.815308
178	2426.48708
179	2425.740027
180	2425.038261
181	2424.256913
182	2423.297222
183	2422.447766
184	2421.252452
185	2420.261446
186	2419.801028
187	2419.050715
188	2417.91242
189	2417.272758
190	2416.920511
191	2416.307478
192	2415.499707
193	2414.762617
194	2413.602151
195	2412.663617
196	2412.146405
197	2411.423378
198	2410.539659
199	2410.198453
200	2409.251565
201	2408.878734
202	2408.4118
203	2408.189378
204	2407.506683
205	2407.048905
206	2406.642082
207	2405.073098
208	2404.790973
209	2404.424967
210	2404.070482
211	2403.528489
212	2403.069238
213	2402.812602
214	2402.462578
215	2401.595878
216	2400.392888
217	2399.769887
218	2398.73316
219	2398.596521
220	2397.987781
221	2397.539846
222	2396.541642
223	2396.409986
224	2395.772003
225	2394.762647
226	2394.640529
227	2393.626189
228	2392.700723
229	2391.774982
230	2391.421591
231	2391.102837
232	2390.417041
233	2389.507018
234	2388.911513
235	2388.607314
236	2388.022277
237	2387.82455
238	2387.603561
239	2387.437491
240	2387.199429
241	2386.607254
242	2385.967194
243	2385.563941
244	2384.706241
245	2383.830436
246	2383.665012
247	2383.335266
248	2383.149605
249	2382.724045
250	2382.074774
251	2381.306162
252	2381.098108
253	2380.490153
254	2380.260565
255	2379.576952
256	2379.193833
257	2378.804947
258	2378.410072
259	2378.010994
260	2377.733409
261	2377.67555
262	2377.470094
263	2377.059021
264	2376.728415
265	2376.294226
266	2376.113587
267	2375.4289
268	2374.082472
269	2373.528807
270	2373.224184
271	2372.475406
272	2371.495314
273	2370.634972
274	2370.292652
275	2369.847918
276	2369.699064
277	2369.430251
278	2368.629449
279	2368.12387
280	2367.863438
281	2366.857749
282	2366.421688
283	2365.903944
284	2365.570389
285	2365.053336
286	2364.960167
287	2364.925293
288	2364.538564
289	2364.401937
290	2363.685267
291	2363.429298
292	2363.158544
293	2363.017751
294	2362.121757
295	2361.781436
296	2361.506761
297	2360.786907
298	2360.028581
299	2359.505269
300	2358.278954
301	2358.121439
302	2357.968142
303	2357.488249
304	2356.655431
305	2356.480757
306	2355.814146
307	2355.035856
308	2354.296819
309	2353.425442
310	2353.141325
311	2352.828187
312	2351.86219
313	2351.319477
314	2350.669121
315	2350.114851
316	2349.006465
317	2348.267705
318	2347.923956
319	2346.869997
320	2346.505885
321	2345.814801
322	2345.319391
323	2345.082614
324	2344.59349
325	2343.979141
326	2343.450647
327	2343.336929
328	2342.991526
329	2342.41021
330	2341.930041
331	2341.670773
332	2340.93235
333	2340.653725
334	2340.148829
335	2340.016223
336	2339.472625
337	2338.928664
338	2338.287413
339	2337.212637
340	2336.461044
341	2336.178205
342	2336.086255
343	2335.993062
344	2335.526725
345	2335.240511
346	2334.694963
347	2334.264619
348	2333.66536
349	2333.024095
350	2332.857963
351	2332.524369
352	2332.381606
353	2332.024621
354	2331.771375
355	2331.516722
356	2330.720829
357	2329.996807
358	2329.481423
359	2329.374437
360	2329.121141
361	2328.839699
362	2328.510069
363	2327.370631
364	2326.684641
365	2326.327699
366	2325.722609
367	2325.627997
368	2325.213273
369	2324.742399
370	2324.299853
371	2323.980845
372	2323.948772
373	2323.709724
374	2323.353363
375	2322.769455
376	2322.173122
377	2321.262173
378	2320.549782
379	2320.290416
380	2319.955348
381	2319.488863
382	2318.85406
383	2317.890611
384	2317.372125
385	2316.259367
386	2316.106046
387	2315.440295
388	2315.242381
389	2314.861233
390	2314.451359
391	2314.420435
392	2314.08697
393	2313.781663
394	2312.771583
395	2312.265157
396	2311.586625
397	2310.289835
398	2309.807278
399	2309.36916
400	2309.323543
401	2308.844776
402	2308.600995
403	2308.587832
404	2307.788966
405	2307.314735
406	2306.953292
407	2305.962197
408	2305.61909
409	2305.56514
410	2304.876083
411	2304.292776
412	2303.981926
413	2303.574668
414	2302.83755
415	2302.346962
416	2302.035866
417	2300.629114
418	2300.559309
419	2300.379957
420	2300.173483
421	2299.48647
422	2298.414877
423	2297.255698
424	2297.141408
425	2296.662567
426	2296.301562
427	2296.032536
428	2295.828992
429	2295.688102
430	2294.991573
431	2294.386396
432	2293.757688
433	2293.190774
434	2293.057915
435	2292.451835
436	2292.011674
437	2291.740564
438	2291.510917
439	2290.69938
440	2290.272553
441	2290.209431
442	2289.714015
443	2289.080094
444	2288.841867
445	2287.98052
446	2286.961357
447	2286.31372
448	2286.156712
449	2285.947917
450	2285.011421
451	2284.572545
452	2284.370088
453	2284.029741
454	2283.614792
455	2283.237659
456	2282.378164
457	2281.97935
458	2281.071745
459	2279.983313
460	2279.343018
461	2278.852452
462	2278.695607
463	2277.801749
464	2277.045269
465	2276.540915
466	2275.77952
467	2274.792572
468	2274.607961
469	2273.318198
470	2271.915216
471	2271.591454
472	2271.281242
473	2270.244022
474	2270.038289
475	2269.799857
476	2269.690292
477	2269.526208
478	2268.542164
479	2268.353043
480	2268.091256
481	2267.677773
482	2267.215181
483	2266.651813
484	2266.087751
485	2265.879881
486	2265.265841
487	2264.54227
488	2264.078674
489	2263.224917
490	2262.107246
491	2261.994884
492	2261.214319
493	2260.59757
494	2260.161633
495	2260.128456
496	2260.036057
497	2259.571891
498	2258.642556
499	2258.396925
500	2257.620397
501	2256.538592
502	2256.333836
503	2255.534758
504	2255.460887
505	2254.654712
506	2254.493281
507	2254.06511
508	2253.690529
509	2253.085887
510	2252.981086
511	2252.755703
512	2252.074079
513	2251.405531
514	2251.184387
515	2250.9946
516	2250.954048
517	2250.414447
518	2249.854115
519	2249.609955
520	2249.397067
521	2248.32059
522	2247.625435
523	2247.358979
524	2246.881699
525	2246.669655
526	2246.242699
527	2245.987918
528	2245.492179
529	2245.325924
530	2244.59294
531	2243.820011
532	2243.315186
533	2243.243662
534	2242.567373
535	2241.751262
536	2241.314009
537	2240.965742
538	2240.776176
539	2239.964537
540	2239.567639
541	2239.469115
542	2239.107539
543	2238.197391
544	2237.553153
545	2237.413296
546	2236.727276
547	2236.225777
548	2236.113888
549	2235.681471
550	2235.356317
551	2234.561394
552	2233.985981
553	2233.455755
554	2233.098342
555	2232.706359
556	2232.160401
557	2231.836179
558	2230.875286
559	2230.639387
560	2230.380607
561	2229.863295
562	2229.693421
563	2228.773063
564	2227.985219
565	2227.496282
566	2226.779916
567	2226.493487
568	2226.018887
569	2225.601912
570	2225.310608
571	2224.981141
572	2224.443743
573	2223.998954
574	2223.365102
575	2222.810808
576	2222.631566
577	2222.519865
578	2222.098591
579	2221.481229
580	2221.432066
581	2220.999496
582	2220.472861
583	2219.929451
584	2219.349126
585	2218.995332
586	2218.811925
587	2218.72455
588	2218.309517
589	2217.759142
590	2217.579286
591	2217.397853
592	2216.51351
593	2215.651582
594	2215.536761
595	2214.531825
596	2214.295088
597	2213.391364
598	2213.036874
599	2212.587239
600	2211.623148
601	2211.386485
602	2210.415368
603	2209.991498
604	2209.761662
605	2209.292554
606	2208.586373
607	2208.210428
608	2207.601615
609	2207.044714
610	2207.015791
611	2205.999998
612	2205.909042
613	2205.073796
614	2204.929265
615	2204.212704
616	2203.701836
617	2203.41451
618	2202.940264
619	2202.768353
620	2202.457437
621	2202.404611
622	2202.344964
623	2202.043093
624	2201.547884
625	2200.941301
626	2200.354531
627	2200.032154
628	2199.374345
629	2198.926148
630	2198.771765
631	2197.832085
632	2197.000857
633	2196.692972
634	2196.216405
635	2195.529869
636	2195.458921
637	2194.156319
638	2193.73774
639	2193.394031
640	2193.05128
641	2192.493018
642	2191.513798
643	2191.353958
644	2190.836897
645	2190.621841
646	2190.199399
647	2189.784089
648	2189.560567
649	2189.31021
650	2188.889822
651	2187.820985
652	2186.772216
653	2186.700553
654	2185.872115
655	2185.215452
656	2184.96842
657	2184.785156
658	2184.671661
659	2184.649544
660	2184.55892
661	2183.692226
662	2183.125513
663	2182.369575
664	2181.743556
665	2181.671391
666	2180.989771
667	2180.788051
668	2180.178737
669	2180.168612
670	2179.193231
671	2178.702316
672	2178.27123
673	2177.614799
674	2177.461877
675	2177.222734
676	2176.832884
677	2175.981654
678	2175.842433
679	2175.79521
680	2175.173794
681	2174.796197
682	2174.373667
683	2173.914118
684	2173.215831
685	2172.67323
686	2172.225988
687	2171.58831
688	2170.904713
689	2170.153652
690	2169.618276
691	2169.006886
692	2168.64982
693	2168.161357
694	2167.656442
695	2167.416299
696	2167.015074
697	2166.608018
698	2165.816039
699	2165.430927
700	2165.12332
701	2165.068346
702	2164.540071
703	2164.093263
704	2163.736468
705	2163.106367
706	2162.473161
707	2162.380549
708	2162.208279
709	2161.215031
710	2160.485764
711	2159.85398
712	2159.372673
713	2159.048989
714	2158.745406
715	2158.429898
716	2158.142534
717	2157.70594
718	2157.225218
719	2157.018738
720	2156.661559
721	2156.190157
722	2156.042546
723	2155.774618
724	2155.247923
725	2154.274894
726	2153.807636
727	2153.275351
728	2153.17416
729	2152.520766
730	2152.417322
731	2151.967915
732	2151.742035
733	2151.279149
734	2150.807885
735	2150.385037
736	2150.250583
737	2150.000937
738	2149.594162
739	2149.466681
740	2149.05043
741	2148.522684
742	2147.925474
743	2147.850304
744	2147.364111
745	2146.408433
746	2145.827418
747	2145.207429
748	2144.966832
749	2143.92436
750	2143.838664
751	2143.568666
752	2143.429336
753	2143.079005
754	2142.769277
755	2142.154357
756	2141.783529
757	2141.479213
758	2140.70188
759	2140.080497
760	2139.302925
761	2138.715514
762	2138.089641
763	2137.813612
764	2137.513763
765	2136.911442
766	2136.028932
767	2135.680413
768	2135.454957
769	2135.359622
770	2134.830982
771	2134.654316
772	2133.755615
773	2133.688649
774	2132.402514
775	2132.044536
776	2131.507377
777	2131.034627
778	2130.704939
779	2130.446306
780	2130.050424
781	2129.438546
782	2129.169586
783	2128.930011
784	2128.180058
785	2127.953564
786	2127.534923
787	2126.684953
788	2126.143323
789	2125.972924
790	2125.365212
791	2125.309721
792	2124.855378
793	2124.726076
794	2124.378936
795	2124.147055
796	2123.784457
797	2123.091603
798	2122.528103
799	2122.228244
800	2121.894479
801	2121.627166
802	2121.258294
803	2120.694306
804	2119.735959
805	2118.974861
806	2118.882614
807	2118.604237
808	2118.141367
809	2117.241862
810	2116.977921
811	2116.676178
812	2116.362275
813	2116.090515
814	2115.892839
815	2115.63208
816	2115.364244
817	2115.032218
818	2114.979903
819	2114.505321
820	2114.003925
821	2113.61612
822	2113.509752
823	2113.226311
824	2112.880736
825	2112.809374
826	2112.594864
827	2112.117694
828	2111.824921
829	2111.244035
830	2111.100864
831	2110.178695
832	2110.109688
833	2109.800463
834	2109.691033
835	2109.17588
836	2108.885234
837	2107.958736
838	2107.420188
839	2107.245959
840	2107.172398
841	2106.694977
842	2106.451668
843	2105.919875
844	2105.488414
845	2105.09589
846	2104.453519
847	2104.360483
848	2104.235101
849	2103.83948
850	2103.592039
851	2103.52922
852	2103.29217
853	2102.493586
854	2102.27763
855	2101.624145
856	2101.181323
857	2100.832031
858	2100.702134
859	2100.31968
860	2099.715304
861	2099.301365
862	2098.896068
863	2098.321337
864	2098.019524
865	2097.234876
866	2096.498578
867	2096.291786
868	2096.038212
869	2095.563031
870	2095.182644
871	2094.707207
872	2094.540767
873	2094.059469
874	2093.581327
875	2093.222423
876	2093.020877
877	2092.917505
878	2091.600347
879	2091.008239
880	2090.531234
881	2090.461579
882	2089.87272
883	2089.154648
884	2088.684765
885	2088.53186
886	2088.166353
887	2087.996295
888	2087.334659
889	2086.88673
890	2086.559579
891	2086.026199
892	2085.590586
893	2085.52727
894	2085.024931
895	2084.968195
896	2084.605617
897	2084.103712
898	2083.647979
899	2083.395976
900	2083.001397
901	2082.725393
902	2081.994907
903	2081.698489
904	2081.017097
905	2080.696413
906	2080.574143
907	2080.447535
908	2079.786318
909	2079.331911
910	2079.094316
911	2078.756513
912	2078.592116
913	2078.183358
914	2077.812266
915	2077.770068
916	2076.91069
917	2076.745456
918	2076.55289
919	2076.334293
920	2075.773549
921	2075.182528
922	2075.173222
923	2075.113931
924	2074.921927
925	2074.293121
926	2074.046469
927	2073.368646
928	2072.787602
929	2072.533149
930	2071.819006
931	2070.873994
932	2070.460129
933	2069.976177
934	2069.565002
935	2068.963009
936	2068.085205
937	2067.781354
938	2067.266045
939	2066.775192
940	2066.365068
941	2065.918111
942	2065.62707
943	2065.616505
944	2064.926268
945	2064.623626
946	2063.799415
947	2062.630807
948	2062.189411
949	2061.490675
950	2061.001566
951	2060.672051
952	2059.873452
953	2059.198235
954	2058.527824
955	2058.111679
956	2057.54543
957	2057.402072
958	2057.21086
959	2056.967061
960	2056.522481
961	2056.345009
962	2055.8151
963	2055.562505
964	2055.184119
965	2055.105678
966	2054.988126
967	2054.120299
968	2054.006741
969	2053.958384
970	2053.809883
971	2053.308827
972	2052.988573
973	2052.603845
974	2052.254673
975	2051.693809
976	2051.589333
977	2051.174043
978	2050.561448
979	2049.692157
980	2049.248174
981	2048.401375
982	2048.383373
983	2048.076242
984	2047.715954
985	2047.517274
986	2047.031508
987	2046.082995
988	2045.779078
989	2045.389554
990	2044.735263
991	2044.184171
992	2043.734659
993	2043.713426
994	2043.444639
995	2043.297343
996	2042.728333
997	2042.514006
998	2041.667932
999	2040.887439
